concurrency,requests,ok,failed,success_rate,wall_s,rps,latency_avg_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s,latency_max_s,ttfb_avg_s,status_counts
1,1,1,0,100.0000,2.775287,0.360323,2.774931,2.774931,2.774931,2.774931,2.774931,2.774931,2.265188,"{""200"": 1}"
10,10,10,0,100.0000,5.089801,1.964713,3.102977,4.052442,4.762538,4.925459,5.055796,5.088380,2.712133,"{""200"": 10}"
50,50,50,0,100.0000,16.616375,3.009080,8.905277,9.154739,15.834623,16.137340,16.506663,16.615814,8.527511,"{""200"": 50}"
100,100,100,0,100.0000,28.605215,3.495866,14.009569,14.355796,25.044788,25.850585,28.595465,28.597164,13.616724,"{""200"": 100}"
